year,month,date,time,demand,nuclear,thermal,hydro,geothermal,biomass,solar,solar_output_control,wind,wind_output_control,pumping,interconnection,total_supply_capacity,company
2016,4,2016-04-01,00:00,2550.0,0.0,2990.0,210.0,－－－－－－－－－－,10.0,0.0,0.0,50.0,0.0,0.0,-710.0,2550.0,yonden
2016,4,2016-04-01,01:00,2720.0,0.0,3130.0,240.0,－－－－－－－－－－,10.0,0.0,0.0,50.0,0.0,0.0,-710.0,2720.0,yonden
2016,4,2016-04-01,02:00,2980.0,0.0,3260.0,330.0,－－－－－－－－－－,10.0,0.0,0.0,50.0,0.0,0.0,-670.0,2980.0,yonden
2016,4,2016-04-01,03:00,3140.0,0.0,3270.0,460.0,－－－－－－－－－－,10.0,0.0,0.0,60.0,0.0,0.0,-660.0,3140.0,yonden
2016,4,2016-04-01,04:00,3110.0,0.0,3260.0,450.0,－－－－－－－－－－,10.0,0.0,0.0,50.0,0.0,0.0,-660.0,3110.0,yonden
2016,4,2016-04-01,05:00,2950.0,0.0,3180.0,340.0,－－－－－－－－－－,10.0,0.0,0.0,60.0,0.0,0.0,-640.0,2950.0,yonden
2016,4,2016-04-01,06:00,2790.0,0.0,3090.0,290.0,－－－－－－－－－－,10.0,20.0,0.0,50.0,0.0,0.0,-670.0,2790.0,yonden
2016,4,2016-04-01,07:00,2810.0,0.0,3080.0,290.0,－－－－－－－－－－,10.0,70.0,0.0,50.0,0.0,0.0,-690.0,2810.0,yonden
2016,4,2016-04-01,08:00,3210.0,0.0,3290.0,380.0,－－－－－－－－－－,10.0,120.0,0.0,60.0,0.0,0.0,-650.0,3210.0,yonden
2016,4,2016-04-01,09:00,3420.0,0.0,3390.0,470.0,－－－－－－－－－－,10.0,140.0,0.0,60.0,0.0,0.0,-650.0,3420.0,yonden
2016,4,2016-04-01,10:00,3490.0,0.0,3390.0,450.0,－－－－－－－－－－,10.0,190.0,0.0,60.0,0.0,0.0,-610.0,3490.0,yonden
2016,4,2016-04-01,11:00,3440.0,0.0,3350.0,400.0,－－－－－－－－－－,10.0,230.0,0.0,70.0,0.0,0.0,-620.0,3440.0,yonden
2016,4,2016-04-01,12:00,3230.0,0.0,3210.0,280.0,－－－－－－－－－－,10.0,280.0,0.0,70.0,0.0,0.0,-620.0,3230.0,yonden
2016,4,2016-04-01,13:00,3380.0,0.0,3400.0,240.0,－－－－－－－－－－,10.0,270.0,0.0,70.0,0.0,0.0,-610.0,3380.0,yonden
2016,4,2016-04-01,14:00,3380.0,0.0,3410.0,260.0,－－－－－－－－－－,10.0,250.0,0.0,60.0,0.0,0.0,-610.0,3380.0,yonden
2016,4,2016-04-01,15:00,3330.0,0.0,3360.0,310.0,－－－－－－－－－－,10.0,210.0,0.0,60.0,0.0,0.0,-620.0,3330.0,yonden
2016,4,2016-04-01,16:00,3290.0,0.0,3340.0,370.0,－－－－－－－－－－,10.0,150.0,0.0,50.0,0.0,0.0,-630.0,3290.0,yonden
2016,4,2016-04-01,17:00,3280.0,0.0,3310.0,480.0,－－－－－－－－－－,10.0,80.0,0.0,60.0,0.0,0.0,-660.0,3280.0,yonden
2016,4,2016-04-01,18:00,3350.0,0.0,3290.0,640.0,－－－－－－－－－－,10.0,10.0,0.0,60.0,0.0,0.0,-660.0,3350.0,yonden
2016,4,2016-04-01,19:00,3290.0,0.0,3240.0,640.0,－－－－－－－－－－,10.0,0.0,0.0,60.0,0.0,0.0,-660.0,3290.0,yonden
2016,4,2016-04-01,20:00,3140.0,0.0,3300.0,450.0,－－－－－－－－－－,10.0,0.0,0.0,40.0,0.0,0.0,-660.0,3140.0,yonden
2016,4,2016-04-01,21:00,2960.0,0.0,3250.0,310.0,－－－－－－－－－－,10.0,0.0,0.0,30.0,0.0,0.0,-640.0,2960.0,yonden
2016,4,2016-04-01,22:00,2750.0,0.0,3100.0,280.0,－－－－－－－－－－,10.0,0.0,0.0,10.0,0.0,0.0,-650.0,2750.0,yonden
2016,4,2016-04-01,23:00,2660.0,0.0,3020.0,270.0,－－－－－－－－－－,10.0,0.0,0.0,10.0,0.0,0.0,-650.0,2660.0,yonden
2016,4,2016-04-02,00:00,2620.0,0.0,2760.0,160.0,－－－－－－－－－－,10.0,0.0,0.0,20.0,0.0,0.0,-330.0,2620.0,yonden
2016,4,2016-04-02,01:00,2680.0,0.0,2580.0,160.0,－－－－－－－－－－,10.0,0.0,0.0,10.0,0.0,0.0,-80.0,2680.0,yonden
2016,4,2016-04-02,02:00,2930.0,0.0,2790.0,210.0,－－－－－－－－－－,10.0,0.0,0.0,0.0,0.0,0.0,-80.0,2930.0,yonden
2016,4,2016-04-02,03:00,3100.0,0.0,2800.0,370.0,－－－－－－－－－－,10.0,0.0,0.0,0.0,0.0,0.0,-80.0,3100.0,yonden
2016,4,2016-04-02,04:00,3080.0,0.0,2770.0,380.0,－－－－－－－－－－,10.0,0.0,0.0,0.0,0.0,0.0,-80.0,3080.0,yonden
2016,4,2016-04-02,05:00,2900.0,0.0,2730.0,230.0,－－－－－－－－－－,10.0,0.0,0.0,10.0,0.0,0.0,-80.0,2900.0,yonden
2016,4,2016-04-02,06:00,2670.0,0.0,2530.0,190.0,－－－－－－－－－－,10.0,60.0,0.0,10.0,0.0,0.0,-130.0,2670.0,yonden
2016,4,2016-04-02,07:00,2500.0,0.0,2320.0,140.0,－－－－－－－－－－,10.0,200.0,0.0,10.0,0.0,0.0,-180.0,2500.0,yonden
2016,4,2016-04-02,08:00,2770.0,0.0,2420.0,140.0,－－－－－－－－－－,10.0,470.0,0.0,10.0,0.0,0.0,-280.0,2770.0,yonden
2016,4,2016-04-02,09:00,2920.0,0.0,2370.0,190.0,－－－－－－－－－－,10.0,750.0,0.0,10.0,0.0,0.0,-410.0,2920.0,yonden
2016,4,2016-04-02,10:00,2970.0,0.0,2230.0,190.0,－－－－－－－－－－,10.0,950.0,0.0,10.0,0.0,0.0,-420.0,2970.0,yonden
2016,4,2016-04-02,11:00,3030.0,0.0,2200.0,170.0,－－－－－－－－－－,10.0,1020.0,0.0,20.0,0.0,0.0,-390.0,3030.0,yonden
2016,4,2016-04-02,12:00,2910.0,0.0,2240.0,150.0,－－－－－－－－－－,10.0,890.0,0.0,30.0,0.0,0.0,-410.0,2910.0,yonden
2016,4,2016-04-02,13:00,2890.0,0.0,2310.0,150.0,－－－－－－－－－－,10.0,770.0,0.0,30.0,0.0,0.0,-380.0,2890.0,yonden
2016,4,2016-04-02,14:00,2880.0,0.0,2390.0,150.0,－－－－－－－－－－,10.0,650.0,0.0,30.0,0.0,0.0,-350.0,2880.0,yonden
2016,4,2016-04-02,15:00,2900.0,0.0,2540.0,150.0,－－－－－－－－－－,10.0,470.0,0.0,30.0,0.0,0.0,-300.0,2900.0,yonden
2016,4,2016-04-02,16:00,2910.0,0.0,2570.0,240.0,－－－－－－－－－－,10.0,270.0,0.0,30.0,0.0,0.0,-210.0,2910.0,yonden
2016,4,2016-04-02,17:00,2920.0,0.0,2620.0,350.0,－－－－－－－－－－,10.0,100.0,0.0,40.0,0.0,0.0,-200.0,2920.0,yonden
2016,4,2016-04-02,18:00,3030.0,0.0,2680.0,480.0,－－－－－－－－－－,10.0,10.0,0.0,50.0,0.0,0.0,-200.0,3030.0,yonden
2016,4,2016-04-02,19:00,3030.0,0.0,2700.0,480.0,－－－－－－－－－－,10.0,0.0,0.0,40.0,0.0,0.0,-200.0,3030.0,yonden
